                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.1486,                0.98824,                 1.2448,                 0.6565,                0.57127,                0.61764,                0.39646,                 1.2353,                 1.0517,                 1.3517,             0.00032244,             0.00032244,             0.00032244
                     45,                 1.1325,                0.98162,                 1.2377,                0.67044,                 0.5791,                0.64249,                 0.4077,                 1.2207,                 1.0175,                 1.3452,              0.0003177,              0.0003177,              0.0003177
                     46,                  1.147,                0.97642,                 1.2451,                 0.6486,                0.57925,                0.65015,                0.41185,                 1.2104,                 1.0634,                  1.325,             0.00031297,             0.00031297,             0.00031297
                     47,                 1.1518,                0.97585,                 1.2391,                 0.6718,                0.61056,                0.65983,                0.42359,                 1.2143,                0.95712,                 1.3301,             0.00030824,             0.00030824,             0.00030824
                     48,                 1.1179,                0.94507,                 1.2288,                0.70856,                0.53704,                0.62572,                0.40239,                 1.2189,                 1.0142,                 1.3452,              0.0003035,              0.0003035,              0.0003035
                     49,                 1.1155,                0.93793,                 1.2301,                0.66133,                0.54273,                0.60887,                0.39659,                 1.2209,                0.97642,                 1.3336,             0.00029877,             0.00029877,             0.00029877
                     50,                 1.1141,                  0.938,                 1.2237,                0.65088,                 0.6513,                0.65436,                 0.4167,                 1.2138,                0.96112,                 1.3267,             0.00029403,             0.00029403,             0.00029403
                     51,                  1.139,                0.94459,                 1.2352,                0.65007,                0.63319,                0.67536,                0.42851,                  1.221,                 1.0013,                 1.3346,              0.0002893,              0.0002893,              0.0002893
                     52,                 1.1212,                0.93192,                 1.2297,                0.68691,                0.60832,                0.67267,                0.42295,                  1.207,                0.95994,                 1.3264,             0.00028457,             0.00028457,             0.00028457
                     53,                 1.1168,                0.93774,                 1.2267,                0.73446,                0.60163,                0.68006,                0.43158,                 1.1959,                0.93021,                 1.3142,             0.00027983,             0.00027983,             0.00027983
                     54,                 1.1069,                0.91914,                 1.2203,                0.64343,                0.64649,                0.68389,                 0.4418,                 1.2046,                0.94299,                 1.3201,              0.0002751,              0.0002751,              0.0002751
                     55,                 1.0954,                0.91121,                 1.2144,                0.67083,                0.68257,                0.71152,                0.44416,                 1.2134,                0.92564,                 1.3192,             0.00027036,             0.00027036,             0.00027036
                     56,                 1.0981,                0.90054,                 1.2112,                 0.7222,                0.65124,                0.70035,                0.44574,                 1.2031,                0.93512,                 1.3248,             0.00026563,             0.00026563,             0.00026563
                     57,                  1.096,                0.90143,                 1.2149,                0.69375,                0.65041,                0.69672,                0.44558,                 1.2151,                0.91765,                 1.3144,              0.0002609,              0.0002609,              0.0002609
                     58,                 1.1015,                0.89634,                 1.2172,                0.74265,                0.64785,                0.72039,                0.44232,                   1.19,                0.94366,                 1.3097,             0.00025616,             0.00025616,             0.00025616
                     59,                 1.0919,                0.89393,                 1.2101,                0.66488,                0.69822,                0.71904,                0.45944,                 1.2027,                 0.9064,                 1.3188,             0.00025143,             0.00025143,             0.00025143
                     60,                 1.0901,                0.87801,                 1.1979,                0.69437,                0.63099,                0.70764,                0.44857,                 1.2048,                0.88345,                 1.3031,             0.00024669,             0.00024669,             0.00024669
                     61,                 1.0981,                  0.884,                 1.2102,                0.71954,                0.62811,                0.69424,                 0.4463,                 1.1935,                0.95699,                 1.3191,             0.00024196,             0.00024196,             0.00024196
                     62,                  1.075,                0.87458,                 1.2015,                0.70419,                0.69486,                0.71804,                0.45911,                 1.1858,                0.88676,                 1.3015,             0.00023723,             0.00023723,             0.00023723
                     63,                 1.0752,                0.86145,                 1.1928,                0.76551,                0.65126,                0.73273,                0.45695,                 1.1881,                0.88879,                 1.3066,             0.00023249,             0.00023249,             0.00023249
                     64,                  1.074,                0.86597,                 1.1962,                0.76758,                 0.6503,                0.73271,                0.46686,                 1.2064,                0.87954,                 1.3268,             0.00022776,             0.00022776,             0.00022776
                     65,                 1.0749,                0.85912,                 1.1961,                0.76503,                0.68894,                0.74007,                0.46089,                 1.1889,                0.85581,                 1.2988,             0.00022302,             0.00022302,             0.00022302
                     66,                  1.058,                0.83012,                 1.1876,                0.77641,                0.66304,                0.74365,                0.47211,                 1.1863,                0.84115,                 1.2998,             0.00021829,             0.00021829,             0.00021829
                     67,                  1.093,                0.85448,                 1.2015,                0.75829,                0.65941,                0.72421,                0.45964,                 1.1873,                0.86728,                 1.3091,             0.00021356,             0.00021356,             0.00021356
                     68,                 1.0588,                0.82962,                 1.1864,                0.78294,                0.69414,                0.75773,                0.47554,                 1.1906,                 0.8283,                 1.3099,             0.00020882,             0.00020882,             0.00020882
                     69,                 1.0581,                0.82383,                 1.1831,                0.72747,                 0.6968,                0.74715,                  0.477,                 1.1812,                0.84731,                 1.2991,             0.00020409,             0.00020409,             0.00020409
                     70,                 1.0503,                0.82707,                 1.1827,                0.76341,                 0.6625,                0.72769,                0.46484,                 1.1931,                0.86967,                 1.3022,             0.00019935,             0.00019935,             0.00019935
                     71,                 1.0688,                0.82744,                 1.1931,                 0.8216,                0.69241,                 0.7615,                0.47813,                 1.1835,                0.84913,                 1.3168,             0.00019462,             0.00019462,             0.00019462
                     72,                 1.0373,                0.80687,                 1.1821,                0.77871,                0.68545,                0.74963,                0.47987,                 1.1857,                0.83873,                 1.3114,             0.00018989,             0.00018989,             0.00018989
                     73,                 1.0427,                0.82228,                 1.1782,                0.78632,                0.64998,                0.72689,                0.47476,                 1.1748,                 0.8389,                 1.3005,             0.00018515,             0.00018515,             0.00018515
                     74,                 1.0488,                0.81252,                 1.1784,                0.76417,                0.67836,                0.74357,                0.46895,                  1.173,                0.84956,                 1.2876,             0.00018042,             0.00018042,             0.00018042
                     75,                 1.0388,                0.81221,                 1.1763,                0.76053,                0.70368,                0.74862,                0.46969,                 1.1665,                0.85562,                 1.2879,             0.00017568,             0.00017568,             0.00017568
                     76,                 1.0421,                0.80484,                 1.1842,                0.80488,                0.64974,                0.74413,                 0.4566,                 1.1806,                0.84323,                 1.2902,             0.00017095,             0.00017095,             0.00017095
                     77,                 1.0413,                0.80632,                 1.1777,                   0.79,                0.69764,                0.77119,                 0.4826,                 1.1713,                0.81641,                 1.2837,             0.00016622,             0.00016622,             0.00016622
                     78,                 1.0341,                0.79668,                 1.1741,                0.79198,                0.70473,                0.75858,                0.47986,                 1.1789,                0.82295,                 1.2956,             0.00016148,             0.00016148,             0.00016148
                     79,                 1.0436,                0.80515,                 1.1775,                0.77464,                0.70298,                0.76547,                0.48937,                 1.1672,                0.81306,                 1.2887,             0.00015675,             0.00015675,             0.00015675
                     80,                 1.0419,                0.79064,                 1.1734,                0.78077,                0.68974,                0.74715,                 0.4811,                 1.1765,                 0.8235,                 1.3005,             0.00015201,             0.00015201,             0.00015201
                     81,                 1.0325,                0.78932,                 1.1708,                0.84339,                0.68457,                0.76393,                0.48069,                 1.1771,                0.79097,                 1.2974,             0.00014728,             0.00014728,             0.00014728
                     82,                  1.021,                 0.7707,                 1.1642,                0.82458,                0.66833,                0.76575,                0.48551,                 1.1727,                0.81611,                 1.2903,             0.00014255,             0.00014255,             0.00014255
                     83,                 1.0152,                0.77757,                 1.1675,                0.81017,                0.70952,                 0.7812,                  0.492,                 1.1683,                0.80049,                 1.2887,             0.00013781,             0.00013781,             0.00013781
                     84,                  1.022,                0.77019,                 1.1634,                 0.8043,                0.71381,                0.76766,                 0.4865,                 1.1674,                0.79577,                 1.2878,             0.00013308,             0.00013308,             0.00013308
                     85,                 1.0111,                0.76128,                   1.16,                0.84791,                0.68474,                0.77322,                0.48636,                 1.1656,                0.79219,                 1.2824,             0.00012834,             0.00012834,             0.00012834
                     86,                  1.006,                0.75927,                 1.1607,                0.79158,                0.73218,                0.76948,                0.48397,                  1.167,                0.80651,                 1.2895,             0.00012361,             0.00012361,             0.00012361
                     87,                 1.0143,                0.76423,                 1.1576,                0.78382,                0.73019,                0.76599,                0.48979,                 1.1677,                0.79979,                 1.2837,             0.00011888,             0.00011888,             0.00011888
                     88,                 1.0103,                0.75675,                 1.1616,                0.82092,                0.70771,                0.77505,                0.48868,                 1.1711,                0.79143,                 1.2925,             0.00011414,             0.00011414,             0.00011414
                     89,                 1.0116,                0.75715,                 1.1621,                0.84124,                0.71371,                0.78831,                0.48758,                 1.1767,                0.77931,                 1.2951,             0.00010941,             0.00010941,             0.00010941
                     90,                 1.0202,                0.75642,                 1.1577,                0.80433,                0.70004,                 0.7674,                0.48233,                 1.1666,                0.80435,                 1.2887,             0.00010467,             0.00010467,             0.00010467
                     91,                0.93319,                0.60343,                 1.1194,                0.75131,                0.73551,                 0.7628,                0.48558,                 1.1675,                0.80272,                  1.296,              9.994e-05,              9.994e-05,              9.994e-05
                     92,                0.91932,                0.57427,                 1.1119,                0.84284,                0.68077,                0.77168,                0.48941,                 1.1733,                 0.7831,                  1.302,             9.5206e-05,             9.5206e-05,             9.5206e-05
                     93,                0.91029,                0.56609,                 1.1033,                0.76109,                0.74542,                0.78166,                0.49325,                 1.1668,                0.77404,                 1.2952,             9.0472e-05,             9.0472e-05,             9.0472e-05
                     94,                0.90707,                0.56208,                 1.1046,                0.76125,                0.72617,                0.77523,                0.48199,                 1.1714,                 0.7779,                 1.3003,             8.5738e-05,             8.5738e-05,             8.5738e-05
                     95,                 0.9076,                0.55743,                 1.1073,                0.84271,                0.71756,                0.79574,                0.49478,                 1.1611,                0.74082,                 1.2901,             8.1004e-05,             8.1004e-05,             8.1004e-05
                     96,                0.89598,                0.55546,                 1.1008,                0.81333,                0.72511,                0.79703,                0.49357,                 1.1579,                0.74072,                 1.2869,              7.627e-05,              7.627e-05,              7.627e-05
                     97,                0.89068,                0.54115,                 1.0965,                0.80267,                0.73946,                0.78852,                0.49289,                  1.158,                0.74724,                 1.2886,             7.1536e-05,             7.1536e-05,             7.1536e-05
                     98,                0.88576,                0.53826,                 1.0953,                0.76777,                0.74873,                0.78933,                 0.4979,                 1.1583,                 0.7503,                  1.297,             6.6802e-05,             6.6802e-05,             6.6802e-05
                     99,                0.88098,                0.53133,                 1.0933,                0.82255,                0.73343,                0.79106,                0.49504,                 1.1626,                0.75853,                 1.2944,             6.2068e-05,             6.2068e-05,             6.2068e-05
                    100,                0.88216,                0.53435,                 1.0873,                0.84291,                0.71172,                0.78973,                0.49749,                 1.1621,                0.75847,                 1.2981,             5.7334e-05,             5.7334e-05,             5.7334e-05
